code,name,issuer,index,market,leverage,hedge
069500,KODEX 200,KODEX,KOSPI200,KR,1.0,none
360750,TIGER 미국S&P500,TIGER,SP500,US,1.0,unhedged
459580,KODEX CD금리액티브(합성),KODEX,KR_MONEY_MARKET,KR,1.0,none
379800,KODEX 미국S&P500,KODEX,SP500,US,1.0,unhedged
133690,TIGER 미국나스닥100,TIGER,NASDAQ100,US,1.0,unhedged
396500,TIGER 반도체TOP10,TIGER,KR_SEMICONDUCTOR,KR,1.0,none
229200,KODEX 코스닥150,KODEX,KOSDAQ150,KR,1.0,none
488770,KODEX 머니마켓액티브,KODEX,KR_MONEY_MARKET,KR,1.0,none
102110,TIGER 200,TIGER,KOSPI200,KR,1.0,none
278530,KODEX 200TR,KODEX,KOSPI200,KR,1.0,none
379810,KODEX 미국나스닥100,KODEX,NASDAQ100,US,1.0,unhedged
122630,KODEX 레버리지,KODEX,KOSPI200,KR,2.0,none
411060,ACE KRX금현물,ACE,GOLD,COMMODITY,1.0,unhedged
233740,KODEX 코스닥150레버리지,KODEX,KOSDAQ150,KR,2.0,none
357870,TIGER CD금리투자KIS(합성),TIGER,KR_MONEY_MARKET,KR,1.0,none
423160,KODEX KOFR금리액티브(합성),KODEX,KR_MONEY_MARKET,KR,1.0,none
310970,TIGER MSCI Korea TR,TIGER,KOSPI200,KR,1.0,none
091160,KODEX 반도체,KODEX,KR_SEMICONDUCTOR,KR,1.0,none
273130,KODEX 종합채권(AA-이상)액티브,KODEX,KR_BOND_AGGREGATE,KR,1.0,none
381170,TIGER 미국테크TOP10 INDXX,TIGER,US_TECH,US,1.0,unhedged
498400,KODEX 200타겟위클리커버드콜,KODEX,KOSPI200,KR,1.0,none
0043B0,TIGER 머니마켓액티브,TIGER,KR_MONEY_MARKET,KR,1.0,none
381180,TIGER 미국필라델피아반도체나스닥,TIGER,PHLX_SEMICONDUCTOR,US,1.0,unhedged
360200,ACE 미국S&P500,ACE,SP500,US,1.0,unhedged
148020,RISE 200,RISE,KOSPI200,KR,1.0,none
458730,TIGER 미국배당다우존스,TIGER,DJ_US_DIVIDEND,US,1.0,unhedged
