code,category,family,status,fetched_at
AAAA,Aggressive Allocation,Amplius,ok,2026-07-19T07:07:23+00:00
AAAC,,,empty,2026-07-19T07:07:24+00:00
AAA,Securitized Bond - Focused,Alternative Access Funds,ok,2026-07-19T07:07:24+00:00
AAAD,,,empty,2026-07-19T07:07:24+00:00
AAAP,Securitized Bond - Focused,Pacer,ok,2026-07-19T07:07:24+00:00
AAAU,Commodities Focused,Goldman Sachs,ok,2026-07-19T07:07:24+00:00
AAEQ,Large Blend,Alpha Architect,ok,2026-07-19T07:07:24+00:00
AADR,Foreign Large Growth,AdvisorShares,ok,2026-07-19T07:07:24+00:00
AALG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:24+00:00
AAOX,Trading--Leveraged Equity,AXS,ok,2026-07-19T07:07:25+00:00
AAPB,Trading--Leveraged Equity,Graniteshares,ok,2026-07-19T07:07:25+00:00
AAOG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:25+00:00
AAPE,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:25+00:00
AAPD,Trading--Inverse Equity,Direxion Funds,ok,2026-07-19T07:07:25+00:00
AAPR,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:07:25+00:00
AAPU,Trading--Leveraged Equity,Direxion Funds,ok,2026-07-19T07:07:25+00:00
AAPX,Trading--Leveraged Equity,Rex,ok,2026-07-19T07:07:26+00:00
AAPW,Trading--Miscellaneous,Roundhill Investments,ok,2026-07-19T07:07:26+00:00
AAPY,Derivative Income,Kurv Investment Management LLC,ok,2026-07-19T07:07:26+00:00
AAUA,Large Blend,Alpha Architect,ok,2026-07-19T07:07:26+00:00
AAUM,Financial,Tema ETFs,ok,2026-07-19T07:07:26+00:00
AAUS,Large Blend,Alpha Architect,ok,2026-07-19T07:07:26+00:00
AAVM,Equity Hedged,Alpha Architect,ok,2026-07-19T07:07:26+00:00
AAXJ,Pacific/Asia ex-Japan Stk,iShares,ok,2026-07-19T07:07:27+00:00
ABCS,Mid-Cap Value,ALPHA BLUE CAPITAL,ok,2026-07-19T07:07:27+00:00
ABEQ,Large Value,Absolute Investment Advisers,ok,2026-07-19T07:07:27+00:00
ABFL,Large Blend,FCF Funds,ok,2026-07-19T07:07:27+00:00
ABI,Multisector Bond,Victory Capital Management Inc.,ok,2026-07-19T07:07:27+00:00
ABIG,Large Blend,Argent,ok,2026-07-19T07:07:27+00:00
ABLD,,,empty,2026-07-19T07:07:27+00:00
ABLG,,,empty,2026-07-19T07:07:27+00:00
ABLS,Small Blend,FCF Funds,ok,2026-07-19T07:07:28+00:00
ABNG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:28+00:00
ABNY,Derivative Income,YieldMax ETFs,ok,2026-07-19T07:07:28+00:00
ABOT,,,empty,2026-07-19T07:07:28+00:00
ABUF,Defined Outcome,APTUS ETFs,ok,2026-07-19T07:07:28+00:00
ABXB,,,empty,2026-07-19T07:07:28+00:00
ACEI,,,empty,2026-07-19T07:07:28+00:00
ACES,Miscellaneous Sector,ALPS,ok,2026-07-19T07:07:29+00:00
ACGO,Large Growth,Hartford Mutual Funds,ok,2026-07-19T07:07:29+00:00
ACEP,Large Blend,"ARS Investment Partners, LLC",ok,2026-07-19T07:07:29+00:00
ACGR,,,empty,2026-07-19T07:07:29+00:00
ACHX,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:07:29+00:00
ACII,,,empty,2026-07-19T07:07:29+00:00
ACIO,Equity Hedged,APTUS ETFs,ok,2026-07-19T07:07:29+00:00
ACKY,,,empty,2026-07-19T07:07:30+00:00
ACLC,,,empty,2026-07-19T07:07:30+00:00
ACLZ,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:07:30+00:00
ACMM,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:07:30+00:00
ACOM,,,empty,2026-07-19T07:07:30+00:00
ACSG,Small Growth,American Century Investments,ok,2026-07-19T07:07:30+00:00
ACSI,Large Blend,Exponential ETFs,ok,2026-07-19T07:07:30+00:00
ACSV,Small Value,American Century Investments,ok,2026-07-19T07:07:30+00:00
ACTS,,,empty,2026-07-19T07:07:31+00:00
ACVF,Large Blend,ACV ETFs,ok,2026-07-19T07:07:31+00:00
ACVT,Convertibles,Advent Funds,ok,2026-07-19T07:07:31+00:00
ACVU,,,empty,2026-07-19T07:07:31+00:00
ACWI,Global Large-Stock Blend,iShares,ok,2026-07-19T07:07:31+00:00
ACWV,Global Large-Stock Blend,iShares,ok,2026-07-19T07:07:31+00:00
ACWX,Foreign Large Blend,iShares,ok,2026-07-19T07:07:32+00:00
ACYN,,,empty,2026-07-19T07:07:32+00:00
ACYQ,,,empty,2026-07-19T07:07:32+00:00
ACYS,,,empty,2026-07-19T07:07:32+00:00
ADBG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:32+00:00
ADBU,,,empty,2026-07-19T07:07:32+00:00
ADDS,,,empty,2026-07-19T07:07:32+00:00
ADFI,Intermediate Core-Plus Bond,Anfield,ok,2026-07-19T07:07:32+00:00
ADIU,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:33+00:00
ADIV,Pacific/Asia ex-Japan Stk,Guinness Atkinson,ok,2026-07-19T07:07:33+00:00
ADME,Equity Hedged,APTUS ETFs,ok,2026-07-19T07:07:33+00:00
ADPV,Mid-Cap Blend,Adaptive ETF,ok,2026-07-19T07:07:33+00:00
ADVE,Focused Region,Matthews Asia Funds,ok,2026-07-19T07:07:33+00:00
AEHG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:33+00:00
AEMS,Derivative Income,"Anfield Capital Management, LLC",ok,2026-07-19T07:07:33+00:00
AETH,Digital Assets,Bitwise Investments,ok,2026-07-19T07:07:34+00:00
AESR,Large Blend,Anfield,ok,2026-07-19T07:07:45+00:00
AFIF,Multisector Bond,Regents Park Funds,ok,2026-07-19T07:07:45+00:00
AFGR,,,empty,2026-07-19T07:07:46+00:00
AFIX,Intermediate Core Bond,Allspring Global Investments,ok,2026-07-19T07:07:46+00:00
AFK,Focused Region,VanEck,ok,2026-07-19T07:07:46+00:00
